,Lines
171,The surgeon had been sitting with his face turned towards the fire:
172,giving the palms of his hands a warm and a rub alternately.  As the
173,"young woman spoke, he rose, and advancing to the bed's head, said, with"
174,more kindness than might have been expected of him:
176,"'Oh, you must not talk about dying yet.'"
178,"'Lor bless her dear heart, no!' interposed the nurse, hastily"
179,"depositing in her pocket a green glass bottle, the contents of which"
180,she had been tasting in a corner with evident satisfaction.
182,"'Lor bless her dear heart, when she has lived as long as I have, sir,"
183,"and had thirteen children of her own, and all on 'em dead except two,"
184,"and them in the wurkus with me, she'll know better than to take on in"
185,"that way, bless her dear heart!  Think what it is to be a mother,"
186,there's a dear young lamb do.'
188,Apparently this consolatory perspective of a mother's prospects failed
189,"in producing its due effect.  The patient shook her head, and stretched"
190,out her hand towards the child.
192,The surgeon deposited it in her arms.  She imprinted her cold white
193,lips passionately on its forehead; passed her hands over her face;
194,gazed wildly round; shuddered; fell back--and died. They chafed her
195,"breast, hands, and temples; but the blood had stopped forever.  They"
196,talked of hope and comfort. They had been strangers too long.
198,"'It's all over, Mrs. Thingummy!' said the surgeon at last."
200,"'Ah, poor dear, so it is!' said the nurse, picking up the cork of the"
201,"green bottle, which had fallen out on the pillow, as she stooped to"
202,take up the child.  'Poor dear!'
204,"'You needn't mind sending up to me, if the child cries, nurse,' said"
205,"the surgeon, putting on his gloves with great deliberation. 'It's very"
206,likely it _will_ be troublesome. Give it a little gruel if it is.'  He
207,"put on his hat, and, pausing by the bed-side on his way to the door,"
208,"added, 'She was a good-looking girl, too; where did she come from?'"
210,"'She was brought here last night,' replied the old woman, 'by the"
211,overseer's order.  She was found lying in the street.  She had walked
212,"some distance, for her shoes were worn to pieces; but where she came"
213,"from, or where she was going to, nobody knows.'"
215,"The surgeon leaned over the body, and raised the left hand.  'The old"
216,"story,' he said, shaking his head: 'no wedding-ring, I see. Ah!"
217,Good-night!'
219,"The medical gentleman walked away to dinner; and the nurse, having once"
220,"more applied herself to the green bottle, sat down on a low chair"
221,"before the fire, and proceeded to dress the infant."
223,"What an excellent example of the power of dress, young Oliver Twist"
224,was!  Wrapped in the blanket which had hitherto formed his only
225,"covering, he might have been the child of a nobleman or a beggar; it"
226,would have been hard for the haughtiest stranger to have assigned him
227,his proper station in society.  But now that he was enveloped in the
228,"old calico robes which had grown yellow in the same service, he was"
229,"badged and ticketed, and fell into his place at once--a parish"
230,"child--the orphan of a workhouse--the humble, half-starved drudge--to"
231,"be cuffed and buffeted through the world--despised by all, and pitied"
232,by none.
234,"Oliver cried lustily. If he could have known that he was an orphan,"
235,"left to the tender mercies of church-wardens and overseers, perhaps he"
236,would have cried the louder.
244,"For the next eight or ten months, Oliver was the victim of a systematic"
245,course of treachery and deception.  He was brought up by hand.  The
246,hungry and destitute situation of the infant orphan was duly reported
247,by the workhouse authorities to the parish authorities.  The parish
248,"authorities inquired with dignity of the workhouse authorities, whether"
249,there was no female then domiciled in 'the house' who was in a
250,"situation to impart to Oliver Twist, the consolation and nourishment of"
251,which he stood in need.  The workhouse authorities replied with
252,"humility, that there was not. Upon this, the parish authorities"
253,"magnanimously and humanely resolved, that Oliver should be 'farmed,'"
254,"or, in other words, that he should be dispatched to a branch-workhouse"
255,"some three miles off, where twenty or thirty other juvenile offenders"
256,"against the poor-laws, rolled about the floor all day, without the"
257,"inconvenience of too much food or too much clothing, under the parental"
258,"superintendence of an elderly female, who received the culprits at and"
259,for the consideration of sevenpence-halfpenny per small head per week.
260,Sevenpence-halfpenny's worth per week is a good round diet for a child;
261,"a great deal may be got for sevenpence-halfpenny, quite enough to"
262,"overload its stomach, and make it uncomfortable. The elderly female was"
263,a woman of wisdom and experience; she knew what was good for children;
264,and she had a very accurate perception of what was good for herself.
265,"So, she appropriated the greater part of the weekly stipend to her own"
266,"use, and consigned the rising parochial generation to even a shorter"
267,allowance than was originally provided for them.  Thereby finding in
268,the lowest depth a deeper still; and proving herself a very great
269,experimental philosopher.
271,Everybody knows the story of another experimental philosopher who had a
272,"great theory about a horse being able to live without eating, and who"
273,"demonstrated it so well, that he had got his own horse down to a straw"
274,"a day, and would unquestionably have rendered him a very spirited and"
275,"rampacious animal on nothing at all, if he had not died,"
276,four-and-twenty hours before he was to have had his first comfortable
277,"bait of air.  Unfortunately for, the experimental philosophy of the"
278,"female to whose protecting care Oliver Twist was delivered over, a"
279,similar result usually attended the operation of _her_ system; for at
280,the very moment when the child had contrived to exist upon the smallest
281,"possible portion of the weakest possible food, it did perversely happen"
282,"in eight and a half cases out of ten, either that it sickened from want"
283,"and cold, or fell into the fire from neglect, or got half-smothered by"
284,"accident; in any one of which cases, the miserable little being was"
285,"usually summoned into another world, and there gathered to the fathers"
286,it had never known in this.
288,"Occasionally, when there was some more than usually interesting inquest"
289,"upon a parish child who had been overlooked in turning up a bedstead,"
290,or inadvertently scalded to death when there happened to be a
291,"washing--though the latter accident was very scarce, anything"
292,approaching to a washing being of rare occurrence in the farm--the jury
293,"would take it into their heads to ask troublesome questions, or the"
294,parishioners would rebelliously affix their signatures to a
295,remonstrance.  But these impertinences were speedily checked by the
296,"evidence of the surgeon, and the testimony of the beadle; the former of"
297,whom had always opened the body and found nothing inside (which was
298,"very probable indeed), and the latter of whom invariably swore whatever"
299,"the parish wanted; which was very self-devotional.  Besides, the board"
300,"made periodical pilgrimages to the farm, and always sent the beadle the"
301,"day before, to say they were going.  The children were neat and clean"
302,"to behold, when _they_ went; and what more would the people have!"
304,It cannot be expected that this system of farming would produce any
305,very extraordinary or luxuriant crop.  Oliver Twist's ninth birthday
306,"found him a pale thin child, somewhat diminutive in stature, and"
307,decidedly small in circumference.  But nature or inheritance had
308,implanted a good sturdy spirit in Oliver's breast.  It had had plenty
309,"of room to expand, thanks to the spare diet of the establishment; and"
310,perhaps to this circumstance may be attributed his having any ninth
311,"birth-day at all.  Be this as it may, however, it was his ninth"
312,birthday; and he was keeping it in the coal-cellar with a select party
313,"of two other young gentleman, who, after participating with him in a"
314,"sound thrashing, had been locked up for atrociously presuming to be"
315,"hungry, when Mrs. Mann, the good lady of the house, was unexpectedly"
316,"startled by the apparition of Mr. Bumble, the beadle, striving to undo"
317,the wicket of the garden-gate.
319,"'Goodness gracious!  Is that you, Mr. Bumble, sir?' said Mrs. Mann,"
320,thrusting her head out of the window in well-affected ecstasies of joy.
321,"'(Susan, take Oliver and them two brats upstairs, and wash 'em"
322,"directly.)--My heart alive!  Mr. Bumble, how glad I am to see you,"
323,sure-ly!'
325,"Now, Mr. Bumble was a fat man, and a choleric; so, instead of"
326,"responding to this open-hearted salutation in a kindred spirit, he gave"
327,"the little wicket a tremendous shake, and then bestowed upon it a kick"
328,which could have emanated from no leg but a beadle's.
330,"'Lor, only think,' said Mrs. Mann, running out,--for the three boys had"
331,"been removed by this time,--'only think of that!  That I should have"
332,"forgotten that the gate was bolted on the inside, on account of them"
333,"dear children!  Walk in sir; walk in, pray, Mr. Bumble, do, sir.'"
335,Although this invitation was accompanied with a curtsey that might have
336,"softened the heart of a church-warden, it by no means mollified the"
337,beadle.
339,"'Do you think this respectful or proper conduct, Mrs. Mann,' inquired"
340,"Mr. Bumble, grasping his cane, 'to keep the parish officers a waiting"
341,"at your garden-gate, when they come here upon porochial business with"
342,"the porochial orphans?  Are you aweer, Mrs. Mann, that you are, as I"
343,"may say, a porochial delegate, and a stipendiary?'"
345,"'I'm sure Mr. Bumble, that I was only a telling one or two of the dear"
346,"children as is so fond of you, that it was you a coming,' replied Mrs."
347,Mann with great humility.
349,Mr. Bumble had a great idea of his oratorical powers and his
350,"importance.  He had displayed the one, and vindicated the other. He"
351,relaxed.
353,"'Well, well, Mrs. Mann,' he replied in a calmer tone; 'it may be as you"
354,"say; it may be.  Lead the way in, Mrs. Mann, for I come on business,"
355,and have something to say.'
357,Mrs. Mann ushered the beadle into a small parlour with a brick floor;
358,placed a seat for him; and officiously deposited his cocked hat and
359,cane on the table before him.  Mr. Bumble wiped from his forehead the
360,"perspiration which his walk had engendered, glanced complacently at the"
361,"cocked hat, and smiled.  Yes, he smiled.  Beadles are but men: and Mr."
362,Bumble smiled.
364,"'Now don't you be offended at what I'm a going to say,' observed Mrs."
365,"Mann, with captivating sweetness.  'You've had a long walk, you know,"
366,"or I wouldn't mention it.  Now, will you take a little drop of"
367,"somethink, Mr. Bumble?'"
369,"'Not a drop.  Nor a drop,' said Mr. Bumble, waving his right hand in a"
370,"dignified, but placid manner."
372,"'I think you will,' said Mrs. Mann, who had noticed the tone of the"
373,"refusal, and the gesture that had accompanied it.  'Just a leetle drop,"
374,"with a little cold water, and a lump of sugar.'"
376,Mr. Bumble coughed.
378,"'Now, just a leetle drop,' said Mrs. Mann persuasively."
380,'What is it?' inquired the beadle.
382,"'Why, it's what I'm obliged to keep a little of in the house, to put"
383,"into the blessed infants' Daffy, when they ain't well, Mr. Bumble,'"
384,"replied Mrs. Mann as she opened a corner cupboard, and took down a"
385,"bottle and glass.  'It's gin.  I'll not deceive you, Mr. B.  It's gin.'"
387,"'Do you give the children Daffy, Mrs. Mann?' inquired Bumble, following"
388,with his eyes the interesting process of mixing.
390,"'Ah, bless 'em, that I do, dear as it is,' replied the nurse. 'I"
391,"couldn't see 'em suffer before my very eyes, you know sir.'"
393,"'No'; said Mr. Bumble approvingly; 'no, you could not.  You are a"
394,"humane woman, Mrs. Mann.'  (Here she set down the glass.)  'I shall"
395,"take a early opportunity of mentioning it to the board, Mrs. Mann.'"
396,"(He drew it towards him.)  'You feel as a mother, Mrs. Mann.'  (He"
397,"stirred the gin-and-water.) 'I--I drink your health with cheerfulness,"
398,Mrs. Mann'; and he swallowed half of it.
400,"'And now about business,' said the beadle, taking out a leathern"
401,"pocket-book.  'The child that was half-baptized Oliver Twist, is nine"
402,year old to-day.'
404,"'Bless him!' interposed Mrs. Mann, inflaming her left eye with the"
405,corner of her apron.
407,"'And notwithstanding a offered reward of ten pound, which was"
408,afterwards increased to twenty pound.  Notwithstanding the most
409,"superlative, and, I may say, supernat'ral exertions on the part of this"
410,"parish,' said Bumble, 'we have never been able to discover who is his"
411,"father, or what was his mother's settlement, name, or condition.'"
413,"Mrs. Mann raised her hands in astonishment; but added, after a moment's"
414,"reflection, 'How comes he to have any name at all, then?'"
416,"The beadle drew himself up with great pride, and said, 'I inwented it.'"
418,"'You, Mr. Bumble!'"
420,"'I, Mrs. Mann.  We name our fondlings in alphabetical order. The last"
421,"was a S,--Swubble, I named him. This was a T,--Twist, I named _him_."
422,"The next one comes will be Unwin, and the next Vilkins.  I have got"
423,"names ready made to the end of the alphabet, and all the way through it"
424,"again, when we come to Z.'"
426,"'Why, you're quite a literary character, sir!' said Mrs. Mann."
428,"'Well, well,' said the beadle, evidently gratified with the compliment;"
429,"'perhaps I may be.  Perhaps I may be, Mrs. Mann.' He finished the"
430,"gin-and-water, and added, 'Oliver being now too old to remain here, the"
431,board have determined to have him back into the house.  I have come out
432,myself to take him there.  So let me see him at once.'
434,"'I'll fetch him directly,' said Mrs. Mann, leaving the room for that"
435,"purpose.  Oliver, having had by this time as much of the outer coat of"
436,"dirt which encrusted his face and hands, removed, as could be scrubbed"
437,"off in one washing, was led into the room by his benevolent protectress."
439,"'Make a bow to the gentleman, Oliver,' said Mrs. Mann."
441,"Oliver made a bow, which was divided between the beadle on the chair,"
442,and the cocked hat on the table.
444,"'Will you go along with me, Oliver?' said Mr. Bumble, in a majestic"
445,voice.
447,Oliver was about to say that he would go along with anybody with great
448,"readiness, when, glancing upward, he caught sight of Mrs. Mann, who had"
449,"got behind the beadle's chair, and was shaking her fist at him with a"
450,"furious countenance.  He took the hint at once, for the fist had been"
451,too often impressed upon his body not to be deeply impressed upon his
452,recollection.
454,'Will she go with me?' inquired poor Oliver.
456,"'No, she can't,' replied Mr. Bumble.  'But she'll come and see you"
457,sometimes.'
459,"This was no very great consolation to the child.  Young as he was,"
460,"however, he had sense enough to make a feint of feeling great regret at"
461,going away.  It was no very difficult matter for the boy to call tears
462,into his eyes.  Hunger and recent ill-usage are great assistants if you
463,want to cry; and Oliver cried very naturally indeed.  Mrs. Mann gave
464,"him a thousand embraces, and what Oliver wanted a great deal more, a"
465,"piece of bread and butter, less he should seem too hungry when he got"
466,"to the workhouse. With the slice of bread in his hand, and the little"
467,"brown-cloth parish cap on his head, Oliver was then led away by Mr."
468,Bumble from the wretched home where one kind word or look had never
469,lighted the gloom of his infant years.  And yet he burst into an agony
470,"of childish grief, as the cottage-gate closed after him.  Wretched as"
471,"were the little companions in misery he was leaving behind, they were"
472,the only friends he had ever known; and a sense of his loneliness in
473,"the great wide world, sank into the child's heart for the first time."
475,"Mr. Bumble walked on with long strides; little Oliver, firmly grasping"
476,"his gold-laced cuff, trotted beside him, inquiring at the end of every"
477,quarter of a mile whether they were 'nearly there.' To these
478,interrogations Mr. Bumble returned very brief and snappish replies; for
479,the temporary blandness which gin-and-water awakens in some bosoms had
480,by this time evaporated; and he was once again a beadle.
482,Oliver had not been within the walls of the workhouse a quarter of an
483,"hour, and had scarcely completed the demolition of a second slice of"
484,"bread, when Mr. Bumble, who had handed him over to the care of an old"
485,"woman, returned; and, telling him it was a board night, informed him"
486,that the board had said he was to appear before it forthwith.
488,"Not having a very clearly defined notion of what a live board was,"
489,"Oliver was rather astounded by this intelligence, and was not quite"
490,certain whether he ought to laugh or cry.  He had no time to think
491,"about the matter, however; for Mr. Bumble gave him a tap on the head,"
492,"with his cane, to wake him up: and another on the back to make him"
493,"lively: and bidding him to follow, conducted him into a large"
494,"white-washed room, where eight or ten fat gentlemen were sitting round"
495,"a table.  At the top of the table, seated in an arm-chair rather higher"
496,"than the rest, was a particularly fat gentleman with a very round, red"
497,face.
499,"'Bow to the board,' said Bumble.  Oliver brushed away two or three"
500,tears that were lingering in his eyes; and seeing no board but the
501,"table, fortunately bowed to that."
503,"'What's your name, boy?' said the gentleman in the high chair."
505,"Oliver was frightened at the sight of so many gentlemen, which made him"
506,"tremble: and the beadle gave him another tap behind, which made him"
507,cry.  These two causes made him answer in a very low and hesitating
508,voice; whereupon a gentleman in a white waistcoat said he was a fool.
509,"Which was a capital way of raising his spirits, and putting him quite"
510,at his ease.
512,"'Boy,' said the gentleman in the high chair, 'listen to me. You know"
513,"you're an orphan, I suppose?'"
515,"'What's that, sir?' inquired poor Oliver."
517,"'The boy _is_ a fool--I thought he was,' said the gentleman in the"
518,white waistcoat.
520,'Hush!' said the gentleman who had spoken first.  'You know you've got
521,"no father or mother, and that you were brought up by the parish, don't"
522,you?'
524,"'Yes, sir,' replied Oliver, weeping bitterly."
526,'What are you crying for?' inquired the gentleman in the white
527,waistcoat.  And to be sure it was very extraordinary.  What _could_ the
528,boy be crying for?
530,"'I hope you say your prayers every night,' said another gentleman in a"
531,"gruff voice; 'and pray for the people who feed you, and take care of"
532,you--like a Christian.'
534,"'Yes, sir,' stammered the boy.  The gentleman who spoke last was"
535,"unconsciously right.  It would have been very like a Christian, and a"
536,"marvellously good Christian too, if Oliver had prayed for the people"
537,"who fed and took care of _him_. But he hadn't, because nobody had"
538,taught him.
540,"'Well!  You have come here to be educated, and taught a useful trade,'"
541,said the red-faced gentleman in the high chair.
543,"'So you'll begin to pick oakum to-morrow morning at six o'clock,' added"
544,the surly one in the white waistcoat.
546,For the combination of both these blessings in the one simple process
547,"of picking oakum, Oliver bowed low by the direction of the beadle, and"
548,"was then hurried away to a large ward; where, on a rough, hard bed, he"
549,sobbed himself to sleep.  What a novel illustration of the tender laws
550,of England!  They let the paupers go to sleep!
552,"Poor Oliver!  He little thought, as he lay sleeping in happy"
553,"unconsciousness of all around him, that the board had that very day"
554,arrived at a decision which would exercise the most material influence
555,over all his future fortunes.  But they had.  And this was it:
557,"The members of this board were very sage, deep, philosophical men; and"
558,"when they came to turn their attention to the workhouse, they found out"
559,"at once, what ordinary folks would never have discovered--the poor"
560,people liked it!  It was a regular place of public entertainment for
561,the poorer classes; a tavern where there was nothing to pay; a public
562,"breakfast, dinner, tea, and supper all the year round; a brick and"
563,"mortar elysium, where it was all play and no work.  'Oho!' said the"
564,"board, looking very knowing; 'we are the fellows to set this to rights;"
565,"we'll stop it all, in no time.'  So, they established the rule, that"
566,all poor people should have the alternative (for they would compel
567,"nobody, not they), of being starved by a gradual process in the house,"
568,"or by a quick one out of it.  With this view, they contracted with the"
569,water-works to lay on an unlimited supply of water; and with a
570,corn-factor to supply periodically small quantities of oatmeal; and
571,"issued three meals of thin gruel a day, with an onion twice a week, and"
572,half a roll of Sundays.  They made a great many other wise and humane
573,"regulations, having reference to the ladies, which it is not necessary"
574,"to repeat; kindly undertook to divorce poor married people, in"
575,"consequence of the great expense of a suit in Doctors' Commons; and,"
576,"instead of compelling a man to support his family, as they had"
577,"theretofore done, took his family away from him, and made him a"
578,"bachelor!  There is no saying how many applicants for relief, under"
579,"these last two heads, might have started up in all classes of society,"
580,if it had not been coupled with the workhouse; but the board were
581,"long-headed men, and had provided for this difficulty.  The relief was"
582,inseparable from the workhouse and the gruel; and that frightened
583,people.
585,"For the first six months after Oliver Twist was removed, the system was"
586,"in full operation.  It was rather expensive at first, in consequence of"
587,"the increase in the undertaker's bill, and the necessity of taking in"
588,"the clothes of all the paupers, which fluttered loosely on their"
589,"wasted, shrunken forms, after a week or two's gruel.  But the number of"
590,workhouse inmates got thin as well as the paupers; and the board were
591,in ecstasies.
593,"The room in which the boys were fed, was a large stone hall, with a"
594,"copper at one end: out of which the master, dressed in an apron for the"
595,"purpose, and assisted by one or two women, ladled the gruel at"
596,"mealtimes.  Of this festive composition each boy had one porringer, and"
597,"no more--except on occasions of great public rejoicing, when he had two"
598,ounces and a quarter of bread besides.
600,The bowls never wanted washing.  The boys polished them with their
601,spoons till they shone again; and when they had performed this
602,"operation (which never took very long, the spoons being nearly as large"
603,"as the bowls), they would sit staring at the copper, with such eager"
604,"eyes, as if they could have devoured the very bricks of which it was"
605,"composed; employing themselves, meanwhile, in sucking their fingers"
606,"most assiduously, with the view of catching up any stray splashes of"
607,gruel that might have been cast thereon.  Boys have generally excellent
608,appetites. Oliver Twist and his companions suffered the tortures of
609,slow starvation for three months: at last they got so voracious and
610,"wild with hunger, that one boy, who was tall for his age, and hadn't"
611,been used to that sort of thing (for his father had kept a small
612,"cook-shop), hinted darkly to his companions, that unless he had another"
613,"basin of gruel per diem, he was afraid he might some night happen to"
614,"eat the boy who slept next him, who happened to be a weakly youth of"
615,"tender age.  He had a wild, hungry eye; and they implicitly believed"
616,him. A council was held; lots were cast who should walk up to the
617,"master after supper that evening, and ask for more; and it fell to"
618,Oliver Twist.
620,"The evening arrived; the boys took their places.  The master, in his"
621,"cook's uniform, stationed himself at the copper; his pauper assistants"
622,ranged themselves behind him; the gruel was served out; and a long
623,grace was said over the short commons.  The gruel disappeared; the boys
624,"whispered each other, and winked at Oliver; while his next neighbors"
625,"nudged him.  Child as he was, he was desperate with hunger, and"
626,reckless with misery.  He rose from the table; and advancing to the
627,"master, basin and spoon in hand, said: somewhat alarmed at his own"
628,temerity:
630,"'Please, sir, I want some more.'"
632,"The master was a fat, healthy man; but he turned very pale. He gazed in"
633,"stupefied astonishment on the small rebel for some seconds, and then"
634,clung for support to the copper.  The assistants were paralysed with
635,wonder; the boys with fear.
637,"'What!' said the master at length, in a faint voice."
639,"'Please, sir,' replied Oliver, 'I want some more.'"
641,The master aimed a blow at Oliver's head with the ladle; pinioned him
642,in his arm; and shrieked aloud for the beadle.
644,"The board were sitting in solemn conclave, when Mr. Bumble rushed into"
645,"the room in great excitement, and addressing the gentleman in the high"
646,"chair, said,"
648,"'Mr. Limbkins, I beg your pardon, sir!  Oliver Twist has asked for"
649,more!'
651,There was a general start.  Horror was depicted on every countenance.
653,"'For _more_!' said Mr. Limbkins.  'Compose yourself, Bumble, and answer"
654,"me distinctly.  Do I understand that he asked for more, after he had"
655,eaten the supper allotted by the dietary?'
657,"'He did, sir,' replied Bumble."
659,"'That boy will be hung,' said the gentleman in the white waistcoat.  'I"
660,know that boy will be hung.'
662,Nobody controverted the prophetic gentleman's opinion.  An animated
663,discussion took place.  Oliver was ordered into instant confinement;
664,"and a bill was next morning pasted on the outside of the gate, offering"
665,a reward of five pounds to anybody who would take Oliver Twist off the
666,"hands of the parish.  In other words, five pounds and Oliver Twist were"
667,"offered to any man or woman who wanted an apprentice to any trade,"
668,"business, or calling."
670,"'I never was more convinced of anything in my life,' said the gentleman"
671,"in the white waistcoat, as he knocked at the gate and read the bill"
672,"next morning: 'I never was more convinced of anything in my life, than"
673,I am that that boy will come to be hung.'
675,As I purpose to show in the sequel whether the white waistcoated
676,"gentleman was right or not, I should perhaps mar the interest of this"
677,"narrative (supposing it to possess any at all), if I ventured to hint"
678,"just yet, whether the life of Oliver Twist had this violent termination"
679,or no.
688,For a week after the commission of the impious and profane offence of
689,"asking for more, Oliver remained a close prisoner in the dark and"
690,solitary room to which he had been consigned by the wisdom and mercy of
691,"the board.  It appears, at first sight not unreasonable to suppose,"
692,"that, if he had entertained a becoming feeling of respect for the"
693,"prediction of the gentleman in the white waistcoat, he would have"
694,"established that sage individual's prophetic character, once and for"
695,"ever, by tying one end of his pocket-handkerchief to a hook in the"
696,"wall, and attaching himself to the other.  To the performance of this"
697,"feat, however, there was one obstacle: namely, that"
698,"pocket-handkerchiefs being decided articles of luxury, had been, for"
699,"all future times and ages, removed from the noses of paupers by the"
700,"express order of the board, in council assembled: solemnly given and"
701,pronounced under their hands and seals.  There was a still greater
702,obstacle in Oliver's youth and childishness.  He only cried bitterly
703,"all day; and, when the long, dismal night came on, spread his little"
704,"hands before his eyes to shut out the darkness, and crouching in the"
705,"corner, tried to sleep: ever and anon waking with a start and tremble,"
706,"and drawing himself closer and closer to the wall, as if to feel even"
707,its cold hard surface were a protection in the gloom and loneliness
708,which surrounded him.
710,"Let it not be supposed by the enemies of 'the system,' that, during the"
711,"period of his solitary incarceration, Oliver was denied the benefit of"
712,"exercise, the pleasure of society, or the advantages of religious"
713,"consolation.  As for exercise, it was nice cold weather, and he was"
714,"allowed to perform his ablutions every morning under the pump, in a"
715,"stone yard, in the presence of Mr. Bumble, who prevented his catching"
716,"cold, and caused a tingling sensation to pervade his frame, by repeated"
717,"applications of the cane.  As for society, he was carried every other"
718,"day into the hall where the boys dined, and there sociably flogged as a"
719,public warning and example.  And so far from being denied the
720,"advantages of religious consolation, he was kicked into the same"
721,"apartment every evening at prayer-time, and there permitted to listen"
722,"to, and console his mind with, a general supplication of the boys,"
723,"containing a special clause, therein inserted by authority of the"
724,"board, in which they entreated to be made good, virtuous, contented,"
725,"and obedient, and to be guarded from the sins and vices of Oliver"
726,Twist: whom the supplication distinctly set forth to be under the
727,"exclusive patronage and protection of the powers of wickedness, and an"
728,article direct from the manufactory of the very Devil himself.
730,"It chanced one morning, while Oliver's affairs were in this auspicious"
731,"and comfortable state, that Mr. Gamfield, chimney-sweep, went his way"
732,"down the High Street, deeply cogitating in his mind his ways and means"
733,"of paying certain arrears of rent, for which his landlord had become"
734,rather pressing.  Mr. Gamfield's most sanguine estimate of his finances
735,could not raise them within full five pounds of the desired amount;
736,"and, in a species of arithmetical desperation, he was alternately"
737,"cudgelling his brains and his donkey, when passing the workhouse, his"
738,eyes encountered the bill on the gate.
740,'Wo--o!' said Mr. Gamfield to the donkey.
742,"The donkey was in a state of profound abstraction: wondering, probably,"
743,whether he was destined to be regaled with a cabbage-stalk or two when
744,he had disposed of the two sacks of soot with which the little cart was
745,"laden; so, without noticing the word of command, he jogged onward."
747,"Mr. Gamfield growled a fierce imprecation on the donkey generally, but"
748,"more particularly on his eyes; and, running after him, bestowed a blow"
749,"on his head, which would inevitably have beaten in any skull but a"
750,"donkey's.  Then, catching hold of the bridle, he gave his jaw a sharp"
751,"wrench, by way of gentle reminder that he was not his own master; and"
752,by these means turned him round.  He then gave him another blow on the
753,"head, just to stun him till he came back again.  Having completed these"
754,"arrangements, he walked up to the gate, to read the bill."
756,The gentleman with the white waistcoat was standing at the gate with
757,"his hands behind him, after having delivered himself of some profound"
758,sentiments in the board-room.  Having witnessed the little dispute
759,"between Mr. Gamfield and the donkey, he smiled joyously when that"
760,"person came up to read the bill, for he saw at once that Mr. Gamfield"
761,was exactly the sort of master Oliver Twist wanted.  Mr. Gamfield
762,"smiled, too, as he perused the document; for five pounds was just the"
763,"sum he had been wishing for; and, as to the boy with which it was"
764,"encumbered, Mr. Gamfield, knowing what the dietary of the workhouse"
765,"was, well knew he would be a nice small pattern, just the very thing"
766,"for register stoves.  So, he spelt the bill through again, from"
767,"beginning to end; and then, touching his fur cap in token of humility,"
768,accosted the gentleman in the white waistcoat.
770,"'This here boy, sir, wot the parish wants to 'prentis,' said Mr."
771,Gamfield.
773,"'Ay, my man,' said the gentleman in the white waistcoat, with a"
774,condescending smile.  'What of him?'
776,"'If the parish vould like him to learn a right pleasant trade, in a"
777,"good 'spectable chimbley-sweepin' bisness,' said Mr. Gamfield, 'I wants"
778,"a 'prentis, and I am ready to take him.'"
780,"'Walk in,' said the gentleman in the white waistcoat.  Mr. Gamfield"
781,"having lingered behind, to give the donkey another blow on the head,"
782,"and another wrench of the jaw, as a caution not to run away in his"
783,"absence, followed the gentleman with the white waistcoat into the room"
784,where Oliver had first seen him.
786,"'It's a nasty trade,' said Mr. Limbkins, when Gamfield had again stated"
787,his wish.
789,"'Young boys have been smothered in chimneys before now,' said another"
790,gentleman.
792,'That's acause they damped the straw afore they lit it in the chimbley
793,"to make 'em come down again,' said Gamfield; 'that's all smoke, and no"
794,"blaze; vereas smoke ain't o' no use at all in making a boy come down,"
795,"for it only sinds him to sleep, and that's wot he likes.  Boys is wery"
